                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.76763,                 1.2543,                 1.3879,                0.46746,                0.58636,                0.60577,                0.44782,                0.93669,                0.88668,                 1.4414,               0.005347,               0.005347,               0.005347
                     50,                0.77322,                 1.2351,                 1.3891,                0.67374,                0.54006,                0.60964,                 0.4406,                0.95106,                 0.8772,                 1.4549,               0.005248,               0.005248,               0.005248
                     51,                0.76792,                 1.2287,                 1.3893,                0.58277,                0.60541,                0.63646,                0.45984,                 0.9589,                0.89359,                 1.4848,               0.005149,               0.005149,               0.005149
                     52,                0.76051,                 1.2185,                 1.3837,                0.55868,                0.58962,                0.63773,                0.46004,                0.95917,                0.89011,                 1.4805,                0.00505,                0.00505,                0.00505
                     53,                0.76014,                 1.2126,                 1.3834,                0.52468,                0.65101,                0.63224,                0.45289,                0.94829,                0.88439,                  1.453,               0.004951,               0.004951,               0.004951
                     54,                0.76419,                 1.2227,                 1.3894,                0.72068,                0.53047,                0.62575,                0.44484,                0.95401,                0.87641,                 1.4629,               0.004852,               0.004852,               0.004852
                     55,                0.75383,                 1.1912,                 1.3792,                 0.7978,                0.50549,                0.63978,                0.45306,                0.95233,                0.87963,                 1.4591,               0.004753,               0.004753,               0.004753
                     56,                0.75056,                 1.1886,                 1.3708,                0.67611,                0.51827,                0.63308,                0.45953,                0.94444,                0.87225,                  1.466,               0.004654,               0.004654,               0.004654
                     57,                0.75934,                 1.1852,                 1.3794,                0.63833,                0.59877,                0.63495,                0.46331,                0.94492,                0.87875,                 1.4561,               0.004555,               0.004555,               0.004555
                     58,                0.74524,                 1.1702,                 1.3707,                0.74107,                0.51714,                0.63335,                0.46662,                0.94355,                0.87676,                  1.453,               0.004456,               0.004456,               0.004456
                     59,                0.75283,                 1.1784,                 1.3743,                0.82848,                0.55858,                0.65888,                0.46908,                0.92527,                0.87123,                 1.4266,               0.004357,               0.004357,               0.004357
                     60,                0.74676,                 1.1612,                 1.3707,                0.64432,                0.56361,                 0.6199,                0.45945,                0.92657,                0.85476,                 1.4375,               0.004258,               0.004258,               0.004258
                     61,                0.74951,                  1.168,                 1.3726,                0.80209,                0.51054,                0.63199,                0.46661,                0.91945,                0.84988,                 1.4238,               0.004159,               0.004159,               0.004159
